lat_lon,county
46.091497.-100.665703,SIOUX

46.3042.-100.6362,SIOUX

47.9889.-98.9198,BENSON

47.9917.-99.0379,BENSON

48.8583.-99.745,ROLETTE

47.9197.-98.8192,BENSON

46.0961.-100.6415,SIOUX

47.9817.-98.9997,BENSON

48.7961.-99.865,ROLETTE

46.0978.-100.656,SIOUX

47.9833.-98.9167,BENSON

47.9836.-98.8683,BENSON

48.8139.-99.7988,ROLETTE

48.8736.-99.7088,ROLETTE

48.8203.-99.6889,ROLETTE

48.8405.-99.7283,ROLETTE

46.55833333.-103.51666667,SLOPE

48.8922.-99.8926,ROLETTE

48.9028.-99.8847,ROLETTE

48.8358.-100.0375,ROLETTE

48.838.-99.7342,ROLETTE

48.8208.-99.7371,ROLETTE

48.8528.-100.1046,ROLETTE

48.46.-101.592,RENVILLE

48.8594.-100.0275,ROLETTE

48.8011.-99.8663,ROLETTE

46.17638889.-103.48694444,BOWMAN

48.8436.-99.8558,ROLETTE

48.0056.-99.0076,BENSON

46.0933.-100.6572,SIOUX

48.8728.-99.7765,ROLETTE

48.823.-99.8575,ROLETTE

48.9128.-99.8212,ROLETTE

48.8375.-99.7357,ROLETTE

47.9233.-98.9586,BENSON

47.9711.-98.9958,BENSON

47.9692.-99.0003,BENSON

46.3689.-100.5885,SIOUX

48.8905.-99.833,ROLETTE

47.9206.-99.0811,BENSON

47.6172.-101.8431,MCLEAN

48.8853.-99.7983,ROLETTE

48.8458.-99.981,ROLETTE

46.1417.-100.6365,SIOUX

48.8069.-100.0421,ROLETTE

47.9914.-98.886,BENSON

48.8058.-100.0437,ROLETTE

48.795.-99.8708,ROLETTE

48.8486.-100.06991,ROLETTE

47.7964.-102.8203,MCKENZIE

47.8031.-98.7133,EDDY

48.8342.-99.8044,ROLETTE

47.9831.-98.9094,BENSON

48.8497.-99.6625,ROLETTE

47.9997.-98.9962,RAMSEY

47.9197.-98.8203,BENSON

47.9825.-98.8685,BENSON

48.818.-99.7372,ROLETTE

48.8333.-99.68,ROLETTE

48.8286.-99.8556,ROLETTE

47.9889.-98.9087,BENSON

46.1461.-100.6625,SIOUX

48.88.-99.8096,ROLETTE

48.0211.-98.861,BENSON

46.3928.-100.5939,SIOUX

47.9839.-99.0103,BENSON

48.81.-99.7903,ROLETTE

48.8731.-99.776,ROLETTE

47.7458.-102.6661,MCKENZIE

48.8347.-100.0537,ROLETTE

47.9897.-99.0014,BENSON

48.833.-99.7464,ROLETTE

47.9561.-99.0765,BENSON

47.9875.-98.8754,BENSON

47.9839.-98.9911,BENSON

48.8125.-99.7925,ROLETTE

48.8194.-99.6782,ROLETTE

47.9197.-98.9689,BENSON

47.9783.-98.9228,BENSON

47.9714.-99.0428,BENSON

46.3333.-100.6671,SIOUX

47.9764.-98.9308,BENSON

48.8519.-100.0321,ROLETTE

47.8692.-98.8872,BENSON

48.875.-99.8893,ROLETTE

47.9889.-98.9893,BENSON

48.8453.-99.6964,ROLETTE

48.7967.-99.8199,ROLETTE

46.0667.-100.6171,SIOUX

46.53138889.-103.49083333,SLOPE

47.9619.-99.0819,BENSON

48.8072.-99.8333,ROLETTE

46.0742.-100.6487,SIOUX

48.8494.-99.7379,ROLETTE

48.8542.-99.6572,ROLETTE

48.8422.-100.0275,ROLETTE

47.9892.-99.0114,BENSON

47.9769.-98.8534,BENSON

