lat_lon,county
47.9794.-102.5394,MOUNTRAIL

47.9981.-98.8464,BENSON

46.1036.-100.6337,SIOUX

46.86861111.-103.69694444,GOLDENVALLEY

47.9839.-98.8733,BENSON

47.9764.-102.6025,MCKENZIE

46.39381.-100.63008,SIOUX

48.0081.-98.8458,BENSON

48.8214.-99.7505,ROLETTE

48.0083.-98.9087,BENSON

47.9972.-99.0365,BENSON

46.3333.-100.6004,SIOUX

47.9958.-99.1046,BENSON

48.8339.-99.6588,ROLETTE

47.9675.-99.0181,BENSON

47.9186.-98.8161,BENSON

47.36888889.-103.63944444,MCKENZIE

48.8292.-99.7629,ROLETTE

47.9781.-99.0328,BENSON

48.8375.-99.7332,ROLETTE

46.3544.-100.9403,SIOUX

48.0069.-98.8501,BENSON

48.8097.-99.8943,ROLETTE

47.9347.-98.8001,BENSON

47.6675.-101.8375,MCLEAN

47.9917.-98.8421,BENSON

46.0917.-100.6601,SIOUX

45.9811.-101.6404,SIOUX

46.0972.-101.0317,SIOUX

48.634.-102.506,BURKE

48.7983.-99.8675,ROLETTE

47.9842.-98.8692,BENSON

48.8339.-100.0299,ROLETTE

47.9747.-102.6658,MCKENZIE

47.9781.-99.0189,BENSON

47.975.-98.9921,BENSON

47.8.-99.0171,EDDY

47.9056.-98.825,BENSON

46.0969.-100.6368,SIOUX

48.8567.-99.8555,ROLETTE

47.9772.-98.9315,BENSON

48.8014.-99.8451,ROLETTE

